Pos,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
F,McGoldrick,5.5,5.5,Sheffield Utd,51,2.227,48,2.361,49,2.396,48,1.972,49,2.673,50,1.847,51,1.959,49,1.914
D,Basham,5.0,5.0,Sheffield Utd,82,2.732,81,2.732,79,2.873,78,1.799,76,3.367,76,1.133,74,1.085,76,1.497
M,Fleck,6.0,6.0,Sheffield Utd,64,2.192,59,2.176,58,2.167,59,1.894,57,2.383,59,1.721,58,1.743,59,1.815
D,Stevens,5.5,5.5,Sheffield Utd,87,3.325,84,3.412,83,3.574,82,2.256,80,4.139,79,1.453,78,1.436,78,1.848
G,Moore,4.5,4.5,Sheffield Utd,0,0,0,0,1,0.043,0,0,1,0.046,2,0.07,1,0.035,2,0.071
M,Norwood,5.0,5.0,Sheffield Utd,79,2.744,74,2.79,74,2.82,71,2.311,71,3.063,73,2.131,70,2.118,70,2.176
G,Foderingham,4.5,4.5,Sheffield Utd,0,0,0,0,1,0.043,1,0.037,2,0.093,2,0.07,1,0.035,1,0.036
D,Baldock,5.5,5.5,Sheffield Utd,87,2.987,86,3.047,83,3.17,84,2.042,83,3.802,81,1.293,79,1.248,75,1.57
D,Jack Robinson,4.5,4.5,Sheffield Utd,14,0.483,20,0.705,25,0.946,25,0.619,28,1.266,28,0.468,33,0.542,29,0.622
D,Egan,5.0,5.0,Sheffield Utd,87,3.195,83,3.171,82,3.353,81,2.125,81,3.958,79,1.387,80,1.39,78,1.766
D,O'Connell,5.0,5.0,Sheffield Utd,84,2.947,82,2.958,78,3.032,78,1.955,78,3.617,79,1.321,73,1.207,79,1.707
M,Lundstram,5.5,5.5,Sheffield Utd,51,1.962,46,1.916,46,1.93,45,1.629,48,2.253,44,1.445,49,1.637,48,1.648
M,Osborn,5.0,5.0,Sheffield Utd,28,1.001,26,0.977,26,0.982,28,0.943,31,1.266,33,1.024,30,0.955,33,1.065
F,McBurnie,6.0,6.0,Sheffield Utd,71,2.864,71,3.223,69,3.129,68,2.592,67,3.383,65,2.258,68,2.435,64,2.348
F,Callum Robinson,5.5,5.5,West Brom,46,1.939,47,2.198,44,2.058,45,1.815,44,2.267,47,1.728,46,1.799,47,1.811
F,Mousset,6.0,6.0,Sheffield Utd,11,0.564,13,0.749,14,0.801,14,0.67,15,0.945,16,0.686,15,0.668,13,0.594
M,Berge,5.0,5.0,Sheffield Utd,44,1.556,64,2.292,66,2.375,64,2.051,64,2.507,63,1.872,65,1.951,64,1.978
F,Long,5.5,5.5,Southampton,24,1.25,24,1.196,25,1.344,27,1.64,29,1.266,26,1.355,32,1.749,27,1.488
D,Bertrand,5.0,5.0,Southampton,88,3.507,84,2.689,82,3.288,81,3.595,82,1.825,79,2.875,79,3.02,76,3.378
G,McCarthy,4.5,4.5,Southampton,89,3.818,88,3.441,88,3.768,88,3.823,87,3.094,87,3.556,87,3.599,85,3.808
M,Oriol Romeu,4.5,4.5,Southampton,71,2.107,67,1.912,67,2.043,66,2.175,65,1.7,66,1.965,66,2.01,64,2.042
M,Redmond,6.5,6.5,Southampton,80,3.413,77,3.078,76,3.38,72,3.601,74,2.643,72,3.086,71,3.221,71,3.28
F,Ings,8.5,8.5,Southampton,78,4.243,77,3.948,74,4.236,73,4.866,71,3.118,72,4,70,4.177,69,4.096
D,Stephens,5.0,5.0,Southampton,55,2.047,56,1.679,54,2.008,56,2.276,58,1.199,53,1.782,54,1.892,56,2.34
M,Armstrong,5.5,5.5,Southampton,63,2.562,60,2.323,63,2.662,62,2.912,64,2.197,60,2.425,60,2.553,58,2.554
D,Vestergaard,4.5,4.5,Southampton,45,1.819,41,1.328,39,1.58,41,1.813,35,0.798,43,1.565,42,1.592,42,1.883
M,Ward-Prowse,6.0,6.0,Southampton,85,3.433,84,3.208,81,3.459,80,3.859,76,2.621,77,3.194,79,3.467,76,3.424
G,Gunn,4.5,4.5,Southampton,0,0,1,0.039,1,0.042,1,0.043,2,0.071,2,0.081,2,0.082,4,0.178
M,Boufal,5.5,5.5,Southampton,27,1.161,31,1.267,29,1.296,29,1.445,28,1.035,32,1.377,34,1.538,35,1.609
M,Reed,4.5,4.5,Fulham,0,0,1,0.035,1,0.038,1,0.034,1,0.035,1,0.038,2,0.078,2,0.073
M,Sims,4.5,4.5,Southampton,1,0.042,3,0.121,4,0.174,5,0.239,6,0.222,5,0.209,6,0.263,8,0.357
D,Walker-Peters,4.5,4.5,Southampton,67,2.583,63,1.938,66,2.537,64,2.687,63,1.336,60,2.071,63,2.275,62,2.674
D,Bednarek,4.5,4.5,Southampton,53,1.929,57,1.667,57,2.072,54,2.157,57,1.136,53,1.743,56,1.917,52,2.137
F,Adams,6.0,6.0,Southampton,56,2.972,57,2.817,58,3.145,57,3.561,55,2.346,55,2.906,52,2.944,55,3.084
D,Valery,5.0,5.0,Southampton,22,0.856,26,0.816,23,0.891,25,1.068,26,0.575,29,1.019,24,0.88,26,1.119
M,Smallbone,4.5,4.5,Southampton,22,0.907,24,0.938,25,1.055,28,1.296,30,1.062,29,1.174,27,1.143,30,1.297
D,Vokins,4.0,4.0,Southampton,1,0.04,2,0.065,5,0.199,5,0.216,5,0.117,5,0.181,7,0.263,9,0.393
F,Obafemi,5.0,5.0,Southampton,19,1.043,18,0.941,19,1.077,19,1.229,20,0.909,22,1.201,21,1.222,21,1.222
M,Djenepo,5.5,5.5,Southampton,9,0.391,12,0.5,12,0.543,16,0.806,15,0.563,18,0.782,16,0.73,18,0.834
G,Lloris,5.5,5.5,Spurs,89,4.045,88,3.85,87,4.226,88,3.346,87,3.983,86,3.97,86,4.06,85,3.823
D,Rose,5.0,5.0,Spurs,2,0.078,3,0.105,4,0.176,5,0.12,6,0.245,5,0.202,6,0.255,4,0.159
M,Sissoko,5.0,5.0,Spurs,54,1.908,56,1.863,57,2.096,56,1.662,53,1.96,52,1.861,50,1.831,51,1.859
D,Alderweireld,5.5,5.5,Spurs,76,3.2,70,2.636,70,3.339,71,1.769,72,3.169,72,3.123,70,3.198,67,2.842
M,Lamela,6.0,6.0,Spurs,17,0.897,20,0.991,19,1.052,22,0.928,24,1.378,22,1.176,23,1.266,23,1.295
F,Kane,10.5,10.5,Spurs,84,5.401,81,4.844,82,5.493,80,3.986,80,5.761,74,4.874,76,5.13,74,5.263
D,Aurier,5.5,5.5,Spurs,7,0.31,8,0.313,11,0.546,12,0.315,12,0.554,13,0.586,12,0.572,15,0.667
M,Son,9.0,9.0,Spurs,73,4.418,71,3.98,70,4.464,69,3.204,68,4.538,69,4.305,67,4.257,69,4.601
D,Dier,5.0,5.0,Spurs,59,2.502,64,2.402,61,2.923,58,1.446,59,2.626,59,2.566,59,2.706,59,2.527
M,Lucas Moura,7.0,7.0,Spurs,58,2.942,57,2.772,59,3.205,58,2.387,56,3.176,58,3.046,60,3.242,59,3.262
G,Gazzaniga,4.5,4.5,Spurs,0,0,0,0,1,0.047,1,0.036,1,0.044,1,0.044,1,0.045,1,0.043
M,Alli,8.0,8.0,Spurs,58,3.364,57,3.055,55,3.351,55,2.45,52,3.337,55,3.247,54,3.3,54,3.393
D,Davies,5.0,5.0,Spurs,85,3.514,83,3.055,81,3.786,79,1.932,78,3.376,80,3.401,78,3.492,77,3.21
M,Højbjerg,5.0,5.0,Spurs,59,2.184,60,2.092,56,2.186,58,1.806,59,2.306,56,2.111,58,2.231,54,2.084
M,Winks,5.5,5.5,Spurs,25,0.852,25,0.819,24,0.855,24,0.72,25,0.888,29,0.998,27,0.949,29,1.011
D,Sánchez,5.5,5.5,Spurs,46,1.886,45,1.649,48,2.214,50,1.229,46,1.956,46,1.937,49,2.165,49,2.012
D,Sessegnon,5.0,5.0,Spurs,3,0.143,5,0.213,5,0.263,6,0.178,6,0.299,6,0.292,7,0.366,9,0.449
M,Bergwijn,7.5,7.5,Spurs,34,1.875,34,1.738,35,2.024,34,1.456,37,2.222,37,2.047,37,2.114,36,2.108
M,Fernandes,5.0,5.0,Spurs,1,0.043,2,0.082,1,0.044,3,0.112,3,0.136,4,0.174,4,0.177,3,0.135
D,Tanganga,5.0,5.0,Spurs,2,0.085,3,0.115,5,0.239,4,0.105,6,0.268,7,0.305,9,0.414,11,0.471
M,Lo Celso,7.0,7.0,Spurs,58,2.637,58,2.484,62,2.907,59,2.153,60,2.906,59,2.721,55,2.575,61,2.942
M,Skipp,4.5,4.5,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Ndombele,6.0,6.0,Spurs,3,0.117,3,0.112,4,0.162,5,0.171,6,0.245,5,0.197,8,0.322,6,0.241
D,Foyth,4.5,4.5,Spurs,0,0,1,0.039,2,0.096,2,0.053,2,0.09,4,0.176,4,0.185,4,0.173
D,Gibbs,4.5,4.5,West Brom,79,2.393,63,1.551,64,1.339,66,1.838,66,2.562,60,1.869,62,2.261,61,1.592
F,Robson-Kanu,5.5,5.5,West Brom,61,2.535,60,2.384,57,2.199,57,2.364,57,2.717,53,2.273,56,2.628,58,2.344
M,Livermore,5.0,5.0,West Brom,85,2.55,81,2.346,80,2.246,78,2.351,77,2.585,79,2.421,75,2.483,74,2.211
M,Grosicki,5.5,5.5,West Brom,16,0.744,16,0.705,16,0.679,17,0.776,19,1,18,0.838,18,0.929,18,0.802
M,Phillips,5.5,5.5,West Brom,34,1.476,36,1.475,37,1.459,34,1.449,36,1.775,37,1.607,39,1.868,39,1.612
D,Bartley,4.5,4.5,West Brom,37,1.076,40,0.933,39,0.772,40,1.061,41,1.511,40,1.187,45,1.563,40,0.989
M,Sawyers,5.0,5.0,West Brom,85,2.595,81,2.387,80,2.285,77,2.367,77,2.628,76,2.387,76,2.552,76,2.299
D,Hegazi,4.5,4.5,West Brom,56,1.604,56,1.295,57,1.115,60,1.566,57,2.045,58,1.695,53,1.803,60,1.464
F,Austin,5.5,5.5,West Brom,28,1.55,27,1.401,28,1.379,28,1.528,28,1.775,31,1.714,29,1.792,26,1.377
F,Zohore,5.0,5.0,West Brom,0,0,1,0.049,3,0.14,4,0.203,4,0.226,4,0.204,4,0.223,6,0.292
G,Johnstone,4.5,4.5,West Brom,89,3.308,88,3.13,88,3.07,87,3.171,87,3.511,85,3.17,87,3.412,87,3.118
D,Townsend,4.5,4.5,West Brom,9,0.249,26,0.573,25,0.467,24,0.6,24,0.817,29,0.81,27,0.87,29,0.676
D,Ajayi,5.0,5.0,West Brom,85,2.432,80,1.836,81,1.566,77,2.013,77,2.786,77,2.257,76,2.594,74,1.807
M,Leko,4.5,4.5,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Edwards,5.0,5.0,West Brom,13,0.527,15,0.579,18,0.671,20,0.791,17,0.76,18,0.728,19,0.829,20,0.776
D,Furlong,4.5,4.5,West Brom,19,0.523,22,0.488,21,0.395,22,0.552,22,0.754,27,0.757,25,0.81,24,0.563
M,Field,5.0,5.0,West Brom,4,0.139,6,0.203,7,0.231,6,0.206,9,0.329,9,0.312,10,0.361,11,0.373
M,Burke,4.5,4.5,Sheffield Utd,0,0,0,0,1,0.038,1,0.04,2,0.09,2,0.082,2,0.088,2,0.079
D,O'Shea,4.5,4.5,West Brom,71,1.915,69,1.478,70,1.253,70,1.714,69,2.358,64,1.771,67,2.16,67,1.529
M,Harper,4.5,4.5,West Brom,30,1.047,34,1.137,34,1.107,35,1.2,37,1.375,33,1.15,37,1.354,36,1.212
M,Noble,5.0,5.0,West Ham,52,2.362,52,1.868,56,2.178,56,2.067,55,1.976,56,1.867,56,1.802,54,2.608
M,Snodgrass,6.0,6.0,West Ham,27,1.352,31,1.218,28,1.198,31,1.26,33,1.298,29,1.071,34,1.198,32,1.707
G,Martin,4.0,4.0,West Ham,0,0,0,0,0,0,1,0.035,0,0,1,0.034,1,0.034,1,0.042
G,Randolph,4.5,4.5,West Ham,0,0,0,0,1,0.039,1,0.036,1,0.036,1,0.035,1,0.035,2,0.086
G,Fabianski,5.0,5.0,West Ham,88,3.8,88,3.185,88,3.452,87,3.219,87,3.197,87,3.117,87,3.095,85,3.718
D,Ogbonna,5.0,5.0,West Ham,88,3.383,85,1.689,84,2.499,84,1.967,81,1.772,81,0.967,76,0.932,78,3.186
G,Roberto,4.5,4.5,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Wilshere,5.0,5.0,West Ham,1,0.042,2,0.071,2,0.075,3,0.109,2,0.071,3,0.102,4,0.132,4,0.177
D,Cresswell,5.0,5.0,West Ham,87,3.495,84,1.773,83,2.577,82,2.027,81,1.869,77,1.018,78,1.039,77,3.297
M,Yarmolenko,6.0,6.0,West Ham,16,0.881,18,0.782,15,0.707,17,0.765,17,0.741,20,0.809,19,0.743,21,1.232
F,Antonio,6.5,6.5,West Ham,74,4.496,72,3.4,72,3.705,70,3.452,69,3.265,71,3.073,67,2.778,67,4.431
D,Fredericks,4.5,4.5,West Ham,84,3.065,81,1.521,80,2.27,78,1.735,80,1.654,76,0.847,76,0.859,75,2.933
M,Lanzini,6.5,6.5,West Ham,1,0.053,7,0.295,6,0.271,6,0.259,8,0.337,10,0.395,9,0.341,11,0.618
M,Felipe Anderson,6.5,6.5,West Ham,44,2.239,43,1.725,41,1.786,43,1.784,44,1.769,45,1.679,41,1.489,41,2.227
F,Haller,6.5,6.5,West Ham,25,1.429,26,1.194,28,1.378,25,1.185,25,1.156,28,1.206,31,1.276,29,1.761
D,Masuaku,4.5,4.5,West Ham,2,0.078,7,0.153,10,0.308,9,0.225,11,0.257,13,0.18,14,0.196,13,0.533
D,Balbuena,4.5,4.5,West Ham,3,0.121,6,0.134,8,0.252,10,0.255,11,0.263,14,0.199,14,0.202,14,0.595
F,Hugill,5.5,5.5,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Bowen,6.5,6.5,West Ham,66,3.352,63,2.514,66,2.859,62,2.569,62,2.494,59,2.2,61,2.193,61,3.308
M,Diangana,5.5,5.5,West Brom,55,2.226,55,2.108,53,1.967,59,2.327,54,2.473,54,2.199,53,2.366,54,2.102
F,Ajeti,5.5,5.5,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Rice,5.0,5.0,West Ham,87,2.679,83,2.198,82,2.336,83,2.25,82,2.201,79,2.015,80,2.003,77,2.524
M,Soucek,5.0,5.0,West Ham,85,2.936,82,2.33,80,2.467,81,2.381,78,2.261,79,2.137,75,2.004,77,2.814
M,Fornals,6.5,6.5,West Ham,53,2.247,50,1.751,52,1.958,51,1.839,51,1.794,48,1.588,49,1.576,53,2.378
D,Diop,4.5,4.5,West Ham,88,3.378,85,1.666,82,2.43,82,1.903,81,1.752,82,0.958,79,0.944,80,3.291
D,Johnson,4.0,4.0,West Ham,6,0.238,12,0.271,14,0.444,15,0.387,16,0.389,19,0.277,24,0.354,23,0.964
G,Ruddy,4.5,4.5,Wolves,0,0,0,0,0,0,2,0.096,2,0.085,2,0.094,2,0.094,3,0.118
M,Moutinho,5.5,5.5,Wolves,80,2.736,78,2.274,77,2.741,77,3.085,77,2.647,74,2.798,74,2.873,73,2.379
G,Patrício,5.5,5.5,Wolves,89,3.981,89,3.159,88,3.756,87,4.205,87,3.704,87,4.118,87,4.121,86,3.413
D,Bennett,4.5,4.5,Wolves,10,0.385,12,0.233,14,0.509,15,0.7,15,0.543,19,0.846,22,0.991,19,0.585
D,Doherty,6.0,6.0,Spurs,80,4.161,80,3.689,76,4.415,75,2.281,74,4.062,72,3.852,72,4.031,70,3.714
D,Boly,5.5,5.5,Wolves,86,3.762,84,1.76,82,3.375,82,4.299,78,3.159,79,3.906,78,3.905,78,2.647
D,Coady,5.0,5.0,Wolves,87,3.289,85,1.467,81,2.79,81,3.619,81,2.787,79,3.389,80,3.449,78,2.281
F,Jiménez,8.5,8.5,Wolves,80,4.183,77,3.396,76,4.438,73,4.857,73,4.004,73,4.353,71,4.49,72,3.653
D,Saïss,5.0,5.0,Wolves,67,2.82,68,1.353,68,2.757,68,3.58,69,2.724,66,3.245,63,3.155,65,2.132
D,Jonny,5.5,5.5,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Bonatini,5.0,5.0,Wolves,7,0.376,10,0.461,9,0.52,11,0.697,14,0.761,11,0.639,13,0.786,13,0.663
M,Dendoncker,5.0,5.0,Wolves,52,1.879,51,1.584,55,2.041,53,2.206,53,1.907,57,2.223,55,2.21,56,1.888
M,Traoré,6.5,6.5,Wolves,81,3.24,77,2.577,76,3.243,76,3.693,74,3.036,76,3.425,72,3.398,71,2.7
M,Neves,5.5,5.5,Wolves,78,2.433,75,2.021,75,2.445,73,2.733,72,2.309,71,2.525,74,2.682,73,2.205
D,Buur,4.0,4.0,Wolves,26,1.074,30,0.611,30,1.167,33,1.638,31,1.192,31,1.456,34,1.617,33,1.072
M,Jota,6.5,6.5,Wolves,61,3.402,57,2.528,57,3.475,57,3.965,55,3.163,57,3.651,58,3.903,56,2.902
M,Podence,5.5,5.5,Wolves,28,1.478,29,1.266,31,1.76,29,1.856,30,1.617,30,1.758,31,1.896,31,1.543
D,Kilman,4.0,4.0,Wolves,6,0.258,7,0.156,9,0.369,11,0.568,10,0.403,12,0.584,10,0.494,14,0.478
D,Vinagre,4.5,4.5,Wolves,57,2.669,56,1.278,56,2.496,55,3.145,58,2.519,54,2.885,51,2.782,54,1.958
G,Sarkic,4.5,4.5,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Gibbs-White,5.0,5.0,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Neto,5.5,5.5,Wolves,39,1.976,42,1.753,42,2.327,39,2.482,45,2.352,41,2.354,39,2.356,38,1.818
M,Jordao,4.5,4.5,Wolves,2,0.082,1,0.036,2,0.086,3,0.143,3,0.124,4,0.179,4,0.184,6,0.236
F,Campana,5.0,5.0,Wolves,2,0.099,2,0.088,3,0.161,3,0.174,3,0.153,3,0.161,3,0.168,4,0.193
M,Freeman,5.0,5.0,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willian,8.0,8.0,Arsenal,36,2.154,37,2.28,40,1.658,34,1.93,38,1.548,40,2.14,37,1.647,36,2.272
D,Salisu,4.5,4.5,Southampton,26,0.964,25,0.752,29,1.074,28,1.116,29,0.612,30,1.004,28,0.975,30,1.238
M,Sean Longstaff,5.0,5.0,Newcastle,45,1.555,37,1.354,39,1.259,36,1.355,38,1.224,36,1.182,35,1.228,33,1.135
M,Pereira,6.0,6.0,West Brom,75,3.35,72,3.012,72,2.871,69,3.037,72,3.768,70,3.169,67,3.439,65,2.797
G,Hart,4.5,4.5,Spurs,0,0,0,0,0,0,0,0,1,0.044,2,0.089,2,0.091,3,0.13
G,Ramsdale,5.0,5.0,Sheffield Utd,89,3.653,89,3.679,87,3.708,87,3.189,86,3.981,85,2.958,87,3.035,86,3.052
D,Robinson,4.5,4.5,Fulham,4,0.093,7,0.195,10,0.332,12,0.292,14,0.417,17,0.597,17,0.576,17,0.465
M,Hendrick,5.0,5.0,Newcastle,32,1.198,26,1.024,27,0.933,27,1.101,26,0.898,28,0.974,32,1.192,30,1.093
D,Dann,4.5,4.5,Crystal Palace,85,2.978,81,1.277,80,2.478,80,1.439,80,2.893,78,2.883,76,2.029,77,2.635
M,Matty Longstaff,5.0,5.0,Newcastle,1,0.036,0,0,1,0.033,1,0.038,1,0.033,0,0,2,0.071,1,0.035
G,Gillespie,4.5,4.5,Newcastle,5,0.191,8,0.341,8,0.293,7,0.304,2,0.072,1,0.038,0,0,0,0
M,Eze,6.0,6.0,Crystal Palace,31,1.658,52,2.119,51,2.538,51,2.085,51,2.734,50,2.763,51,2.235,54,2.832
D,Thiago Silva,5.5,5.5,Chelsea,13,0.517,29,0.763,41,1.718,50,2.353,50,2.098,52,1.381,49,2.114,53,2.442
D,Koch,4.5,4.5,Leeds,68,1.06,68,3.112,66,2.408,65,1.037,66,2.247,68,2.432,64,2.037,63,2.406
F,Rodrigo,6.0,6.0,Leeds,46,1.904,49,2.931,45,2.259,48,2.031,48,2.36,48,2.671,45,2.304,50,2.7
M,Lemina,4.5,4.5,Fulham,3,0.102,3,0.103,5,0.186,7,0.23,5,0.172,6,0.222,7,0.264,6,0.212
D,Gabriel,5.0,5.0,Arsenal,69,2.992,65,2.775,61,1.244,56,2.539,57,0.946,59,2.152,55,1.358,54,2.416
